algorithm,playlist,time
NOOP,1002479,10101
SMS-EMOA,1008651,4247700
SMS-EMOA,1045229,5714523
m-ACO,1006239,422172
m-ACO,1007332,5989708
NSGA-II,1002332,3909902
NSGA-II,1018708,1893192
SMS-EMOA,1000450,2800087
m-ACO,1006725,421206
NOOP,1004256,6455
NOOP,1004243,3894
SMS-EMOA,1002977,5039123
m-ACO,1007242,4672364
m-ACO,1006349,374973
NOOP,1000165,7167
m-ACO,1010735,318558
SMS-EMOA,1016999,5675964
NOOP,1000170,10469
SMS-EMOA,1010602,4241060
m-ACO,1011252,6797596
NSGA-II,1004246,2631208
SMS-EMOA,1012970,5080673
NSGA-II,1004013,3237230
NSGA-II,1005550,2615657
NOOP,1015276,8630
NOOP,1042279,8660
m-ACO,1007205,4714680
SMS-EMOA,1010457,4298672
m-ACO,1007669,4877221
NOOP,1002624,5358
NOOP,1002631,3484
m-ACO,1006762,472673
m-ACO,1000361,9470317
NOOP,1011150,5610
m-ACO,1011215,2520107
NOOP,1006517,7209
m-ACO,1011679,589022
SMS-EMOA,1004318,5423777
SMS-EMOA,1000605,1683584
SMS-EMOA,1001346,1547181
NSGA-II,1007139,2840007
NOOP,1040765,8667
NSGA-II,1003424,3350931
NSGA-II,1002167,3220013
NOOP,1022531,8050
NSGA-II,1032711,8007371
SMS-EMOA,1008404,2200888
NSGA-II,1007698,2773258
NOOP,1035176,9066
NSGA-II,1003385,2218756
m-ACO,1010602,594160
m-ACO,1001776,1738813
SMS-EMOA,1046818,5392562
NOOP,1000338,5036
SMS-EMOA,1007593,7172837
NOOP,1001824,7019
NSGA-II,1045377,2050059
m-ACO,1006612,418818
NSGA-II,1012494,2725470
m-ACO,1007719,6167570
SMS-EMOA,1007232,10912382
SMS-EMOA,1006771,6032835
m-ACO,1004416,471021
SMS-EMOA,1045800,5366963
NOOP,1006742,4926
m-ACO,1010803,4311921
NOOP,1001189,7774
m-ACO,1005171,371674
SMS-EMOA,1011787,4244561
m-ACO,1011908,465480
m-ACO,1002479,1453173
NSGA-II,1042672,2061259
m-ACO,1012406,402499
SMS-EMOA,1005769,6322314
m-ACO,1006813,419998
NOOP,1002464,4695
SMS-EMOA,1000096,2419294
NOOP,1010819,4958
NSGA-II,1014373,2681623
m-ACO,1025827,342973
m-ACO,1003402,382561
SMS-EMOA,1008536,4424435
SMS-EMOA,1009075,4318160
m-ACO,1012576,473311
SMS-EMOA,1023239,7920599
m-ACO,1002509,1644207
m-ACO,1021021,369176
NSGA-II,1002055,3328043
NSGA-II,1006548,4190851
NOOP,1003480,4578
m-ACO,1002165,1934788
NOOP,1003495,6128
SMS-EMOA,1041453,4807445
SMS-EMOA,1037576,3386895
m-ACO,1026145,423355
NOOP,1005957,4405
NOOP,1022771,8125
NSGA-II,1045245,2176295
NOOP,1005942,8097
SMS-EMOA,1006643,5742554
m-ACO,1004566,469777
m-ACO,1014175,449452
NOOP,1000178,22735
NSGA-II,1010881,3099371
NSGA-II,1012207,1726984
NOOP,1002639,8713
m-ACO,1006924,374228
m-ACO,1003029,389395
m-ACO,1002122,1946249
SMS-EMOA,1003448,4640712
SMS-EMOA,1007155,10831303
NSGA-II,1014868,2383492
SMS-EMOA,1006416,4544101
SMS-EMOA,1019072,5773252
m-ACO,1012531,411468
m-ACO,1003445,4271753
NOOP,1033751,8398
m-ACO,1001840,1913422
m-ACO,1027465,408904
NSGA-II,1000886,1095020
m-ACO,1014132,438161
NSGA-II,1003743,3277383
NSGA-II,1002200,3312230
m-ACO,1004521,482672
SMS-EMOA,1009220,4690148
SMS-EMOA,1012359,4664164
NSGA-II,1014126,2635425
SMS-EMOA,1002845,5160929
SMS-EMOA,1001780,1192900
NOOP,1000330,4822
m-ACO,1005136,455091
NSGA-II,1042386,2122692
NSGA-II,1009865,2720595
m-ACO,1026072,323813
SMS-EMOA,1000562,1119761
SMS-EMOA,1001021,1641437
m-ACO,1017920,409907
NOOP,1004003,13717
m-ACO,1002052,4064285
NSGA-II,1000669,792394
m-ACO,1006854,429397
NSGA-II,1005637,8512389
NOOP,1013451,8307
m-ACO,1003535,324815
SMS-EMOA,1011273,4247812
SMS-EMOA,1010730,4282483
NOOP,1001839,5570
NOOP,1013444,8321
SMS-EMOA,1002280,4029995
SMS-EMOA,1000806,1124378
NSGA-II,1008042,3163333
NOOP,1002065,5177
SMS-EMOA,1002521,4337103
SMS-EMOA,1033614,3678749
NOOP,1002070,3585
NOOP,1011704,5218
NSGA-II,1006337,3623973
NSGA-II,1007674,2840143
NOOP,1009816,3790
NSGA-II,1003369,2123054
SMS-EMOA,1008349,4428689
NOOP,1001588,8123
NSGA-II,1006496,3466222
SMS-EMOA,1013230,4892423
SMS-EMOA,1012773,4769087
m-ACO,1024895,365835
NSGA-II,1010011,3563922
NOOP,1040131,8173
SMS-EMOA,1004455,5967729
NOOP,1012911,8108
NSGA-II,1013875,2638478
NOOP,1012904,8819
NSGA-II,1001700,3310758
NSGA-II,1000243,809139
NOOP,1013218,9196
NOOP,1003094,6830
NSGA-II,1032912,3489616
m-ACO,1026490,133262
SMS-EMOA,1025532,5100466
NOOP,1003081,5213
m-ACO,1007996,6272993
m-ACO,1003190,4261459
SMS-EMOA,1008852,5767503
NOOP,1003931,6199
NSGA-II,1001555,3201221
NSGA-II,1000016,1818393
m-ACO,1012488,400708
m-ACO,1043377,390229
NOOP,1003924,7558
NOOP,1011559,5820
SMS-EMOA,1031028,3045954
NOOP,1002238,6914
SMS-EMOA,1005343,6101491
SMS-EMOA,1004600,5352383
m-ACO,1045318,1139407
SMS-EMOA,1013065,7143815
NSGA-II,1000958,1198793
SMS-EMOA,1012526,5223366
m-ACO,1000982,1626040
NSGA-II,1005906,7572835
NOOP,1004417,8639
NOOP,1004402,4947
m-ACO,1004184,4273353
m-ACO,1001889,1570316
SMS-EMOA,1012287,4512423
NSGA-II,1018045,2504330
NSGA-II,1019506,1982036
NSGA-II,1006162,7440484
NOOP,1013045,8291
m-ACO,1029378,421978
SMS-EMOA,1006269,5412869
SMS-EMOA,1002774,4397019
SMS-EMOA,1003237,3140032
NOOP,1000731,49824
m-ACO,1012194,469791
m-ACO,1002587,3863974
NSGA-II,1039122,5626425
SMS-EMOA,1003596,3164133
m-ACO,1007075,449534
NOOP,1006492,7919
NOOP,1006487,7896
m-ACO,1003873,4286241
m-ACO,1006512,422929
SMS-EMOA,1007231,11212572
SMS-EMOA,1006772,6018894
NSGA-II,1012497,3040367
NSGA-II,1003427,3231043
SMS-EMOA,1011859,4243360
NSGA-II,1006479,4463718
m-ACO,1000111,2078086
NSGA-II,1003386,2191853
NOOP,1027763,8029
m-ACO,1001476,4079497
NOOP,1000950,5580
SMS-EMOA,1039732,4035650
m-ACO,1000061,2565483
NOOP,1003750,5581
m-ACO,1015913,365213
NOOP,1003745,4226
NOOP,1014302,8236
NSGA-II,1026913,4835421
m-ACO,1001506,3973630
SMS-EMOA,1000606,1393140
SMS-EMOA,1001345,1431421
m-ACO,1003903,421551
NSGA-II,1005553,2580680
NOOP,1007463,3669
SMS-EMOA,1042448,4212533
NOOP,1007476,8025
m-ACO,1012877,558032
m-ACO,1007105,423163
m-ACO,1031933,413317
SMS-EMOA,1011117,4511563
SMS-EMOA,1010454,4308447
m-ACO,1024041,406285
NOOP,1010024,8495
m-ACO,1006462,322744
NOOP,1012770,7997
SMS-EMOA,1025029,7536228
NOOP,1035956,8019
SMS-EMOA,1011342,2376681
NOOP,1008693,6544
m-ACO,1004820,470896
NOOP,1010994,4618
m-ACO,1011152,8329349
NOOP,1005322,3271
NSGA-II,1000758,821917
NOOP,1005337,4953
NSGA-II,1004245,2551991
NOOP,1010981,5849
NSGA-II,1005706,8633682
NOOP,1008686,5530
NSGA-II,1009954,2792756
SMS-EMOA,1000453,2890193
NSGA-II,1014017,2745458
NOOP,1001011,5813
SMS-EMOA,1002974,4690932
NSGA-II,1011049,3095725
NOOP,1001004,4442
m-ACO,1003944,4302164
m-ACO,1006049,442050
NOOP,1025022,8183
m-ACO,1006555,422831
NOOP,1028586,8513
SMS-EMOA,1012268,4549960
m-ACO,1006139,381530
NOOP,1048936,8705
NSGA-II,1032547,8113526
m-ACO,1012940,416526
m-ACO,1007032,415094
NSGA-II,1011907,2834351
NSGA-II,1013381,2646455
SMS-EMOA,1007064,4668293
SMS-EMOA,1006527,6129799
NOOP,1013781,8727
m-ACO,1001431,1481914
NOOP,1043150,8400
NSGA-II,1045121,2125077
m-ACO,1010545,464892
NOOP,1009662,2919
NSGA-II,1013420,2629373
NSGA-II,1008559,2808224
SMS-EMOA,1004800,4960870
NOOP,1003518,7779
m-ACO,1004950,5196688
NSGA-II,1034019,8058775
SMS-EMOA,1027924,5143061
m-ACO,1024088,417233
NSGA-II,1001631,3341943
NSGA-II,1000372,969105
SMS-EMOA,1014097,4813460
NOOP,1006086,6446
NSGA-II,1010681,2746944
SMS-EMOA,1000079,1265905
NOOP,1006093,4794
NSGA-II,1047162,2145213
NOOP,1041205,8196
NSGA-II,1010120,3250009
NSGA-II,1025708,5580627
NSGA-II,1023893,4476777
SMS-EMOA,1008278,4796859
m-ACO,1009768,6924076
NOOP,1007062,5026
NOOP,1038143,8844
SMS-EMOA,1012642,4970004
NSGA-II,1037133,7718203
SMS-EMOA,1045600,4833520
NSGA-II,1006206,7139040
m-ACO,1018270,418124
NSGA-II,1003258,2173403
SMS-EMOA,1002410,3974398
SMS-EMOA,1003153,4536041
NOOP,1003344,7967
NOOP,1003351,5171
NSGA-II,1041016,5320247
NSGA-II,1012549,3010355
SMS-EMOA,1005969,5929770
NSGA-II,1009430,2873169
NOOP,1021558,8282
NSGA-II,1026622,4891344
NSGA-II,1026477,5030070
m-ACO,1011487,8775281
m-ACO,1018237,383756
NSGA-II,1008326,2820789
NOOP,1011689,3356
m-ACO,1005892,392513
NOOP,1001405,4310
SMS-EMOA,1006358,4588552
NSGA-II,1008487,2931471
m-ACO,1008624,3206722
SMS-EMOA,1002645,4248941
SMS-EMOA,1003306,4628210
SMS-EMOA,1001980,1824076
m-ACO,1001094,1687948
SMS-EMOA,1010930,4351252
m-ACO,1007497,4735496
NSGA-II,1006053,6095138
NSGA-II,1007510,3249807
SMS-EMOA,1013154,7469737
NSGA-II,1000869,1045913
NOOP,1005736,4999
SMS-EMOA,1012417,4538936
NOOP,1008287,9468
NSGA-II,1005837,7517103
m-ACO,1012989,469240
NOOP,1005723,3902
SMS-EMOA,1029804,5272772
NOOP,1039802,8204
NSGA-II,1010375,2655537
NOOP,1006936,5784
SMS-EMOA,1004090,3157665
NSGA-II,1046674,2019484
m-ACO,1002886,4275192
NOOP,1009263,5266
NOOP,1003119,4986
m-ACO,1006080,329292
m-ACO,1041303,411648
SMS-EMOA,1008963,5895959
NSGA-II,1001464,3189494
NSGA-II,1000127,1626712
m-ACO,1000483,2411915
m-ACO,1001588,2109066
SMS-EMOA,1042062,5329174
NOOP,1012889,8280
SMS-EMOA,1015020,7897829
NSGA-II,1000686,916299
NOOP,1006654,5041
NSGA-II,1001148,809223
m-ACO,1006671,418454
NSGA-II,1004116,2151231
NOOP,1006641,6494
SMS-EMOA,1011011,4642065
NSGA-II,1007972,2901885
NSGA-II,1010659,2760395
NOOP,1002567,6458
m-ACO,1001715,1893908
m-ACO,1033349,420625
m-ACO,1000272,2201347
SMS-EMOA,1001243,1602966
NSGA-II,1043306,2060324
m-ACO,1011306,9164106
NOOP,1003596,5225
m-ACO,1001665,4348630
NSGA-II,1003521,3243545
NSGA-II,1002062,3257610
m-ACO,1001209,1576603
NOOP,1044715,8306
NSGA-II,1004858,2627384
SMS-EMOA,1008501,4881479
m-ACO,1000302,9971241
NSGA-II,1001806,3225718
m-ACO,1048232,466202
NSGA-II,1012230,2641302
NSGA-II,1009349,2979535
m-ACO,1006701,387596
NSGA-II,1022446,2611153
SMS-EMOA,1028684,7765842
SMS-EMOA,1002369,4105987
m-ACO,1007266,5983599
SMS-EMOA,1007337,4584642
SMS-EMOA,1006674,4756164
NOOP,1005841,6155
m-ACO,1039987,490034
NOOP,1017429,8826
NOOP,1042367,8645
SMS-EMOA,1007162,10848686
SMS-EMOA,1006421,5921909
NSGA-II,1013287,3013292
NSGA-II,1011801,2760755
m-ACO,1008092,5031391
m-ACO,1001622,3538684
SMS-EMOA,1006380,5417953
NOOP,1008440,4038
m-ACO,1000729,6138996
SMS-EMOA,1001958,1778605
NSGA-II,1013526,2588518
m-ACO,1009199,527531
NOOP,1024215,8258
SMS-EMOA,1009217,4086991
NSGA-II,1003774,3330396
NSGA-II,1007269,2805396
m-ACO,1006746,419694
NOOP,1006409,3501
SMS-EMOA,1000555,1668758
SMS-EMOA,1004048,2253261
m-ACO,1006636,295131
NOOP,1000226,6131
NOOP,1000233,6575
SMS-EMOA,1002872,4883018
m-ACO,1024215,380354
NSGA-II,1014111,2578834
NSGA-II,1028935,4581433
m-ACO,1000235,6832301
NOOP,1004115,4803
m-ACO,1010626,463392
NSGA-II,1005600,2640959
m-ACO,1000659,8300204
NOOP,1036585,7958
SMS-EMOA,1047745,5640148
NOOP,1004100,11414
NOOP,1002173,3436
NOOP,1008209,6239
SMS-EMOA,1002516,4185035
SMS-EMOA,1003055,4428009
NSGA-II,1009536,2870744
SMS-EMOA,1000831,1153165
NOOP,1006240,6652
NOOP,1009915,5668
NSGA-II,1004986,2570147
NOOP,1011612,5799
NSGA-II,1006300,7377248
NOOP,1036834,8441
NOOP,1009900,4816
NSGA-II,1029112,4414272
NOOP,1012807,7063
NOOP,1038385,8290
SMS-EMOA,1005121,5169195
SMS-EMOA,1004462,5467681
NSGA-II,1011565,3073130
m-ACO,1008500,3245266
NOOP,1040027,8031
SMS-EMOA,1005680,2052936
NOOP,1003182,4556
NOOP,1003197,3896
NSGA-II,1004769,2614521
NSGA-II,1000274,908352
NSGA-II,1033992,8183335
NOOP,1003827,8789
m-ACO,1011388,8852017
m-ACO,1010283,9617672
NOOP,1003832,3897
NSGA-II,1001562,3486215
NSGA-II,1000021,1752648
SMS-EMOA,1008865,5517455
SMS-EMOA,1016942,5323361
m-ACO,1009020,3630835
NOOP,1006008,7412
m-ACO,1000690,8397033
NSGA-II,1003845,2174225
NSGA-II,1000780,3194873
NSGA-II,1010273,3085652
NSGA-II,1011730,3124083
NSGA-II,1047590,2026522
SMS-EMOA,1005374,4905228
SMS-EMOA,1004637,2435225
NOOP,1040997,8584
NSGA-II,1011091,2694446
m-ACO,1039909,476294
NOOP,1013153,8259
m-ACO,1029976,369600
NSGA-II,1006155,5486462
NSGA-II,1018072,2550686
NOOP,1013146,8196
SMS-EMOA,1010836,4360134
SMS-EMOA,1047874,5478363
NOOP,1004501,6095
m-ACO,1007684,6187648
NOOP,1004514,6790
NSGA-II,1005931,7361888
m-ACO,1042902,404871
NSGA-II,1009763,3518706
m-ACO,1011694,321116
SMS-EMOA,1001886,1507052
SMS-EMOA,1002743,4245458
NOOP,1000632,5118
SMS-EMOA,1002258,3992280
SMS-EMOA,1006745,6053220
SMS-EMOA,1005880,5559702
SMS-EMOA,1018662,4127989
m-ACO,1004319,469205
m-ACO,1005212,375047
NSGA-II,1045343,2043992
SMS-EMOA,1036133,3668037
NSGA-II,1012301,3024017
NSGA-II,1013642,3158058
NSGA-II,1010987,3121187
NSGA-II,1009278,2828128
m-ACO,1015601,321283
NOOP,1006591,6330
NSGA-II,1023034,2857162
m-ACO,1037222,483341
m-ACO,1004775,421828
NOOP,1018754,8553
NOOP,1000853,8898
NOOP,1000846,7272
NSGA-II,1004969,2620303
SMS-EMOA,1009173,4837934
m-ACO,1013202,354894
NSGA-II,1001937,3197710
m-ACO,1003611,4257803
NSGA-II,1033266,8476622
SMS-EMOA,1008391,4618238
NSGA-II,1018569,2858625
NSGA-II,1002153,3381452
NOOP,1005069,5744
SMS-EMOA,1000631,2699543
m-ACO,1002206,1268317
NOOP,1014201,8309
NOOP,1003646,5674
m-ACO,1012615,474390
SMS-EMOA,1000190,2897117
NSGA-II,1043596,2079417
SMS-EMOA,1048217,5596047
NOOP,1003653,5303
NOOP,1004098,9002
m-ACO,1003761,265435
SMS-EMOA,1020215,5989061
NOOP,1010127,5507
m-ACO,1005362,395706
NOOP,1010132,6088
SMS-EMOA,1010463,4985370
NSGA-II,1004786,2563475
m-ACO,1004605,475022
NOOP,1007575,3532
NOOP,1007560,9511
NSGA-II,1004027,2185722
NSGA-II,1005564,2611077
m-ACO,1003726,422674
NOOP,1010882,6342
NSGA-II,1004272,2597311
SMS-EMOA,1010197,5900006
NOOP,1005221,5941
SMS-EMOA,1046337,5509035
NOOP,1010897,4913
NSGA-II,1005090,2680098
NOOP,1012666,7270
m-ACO,1002241,1909086
NOOP,1001107,4496
m-ACO,1005749,360675
NSGA-II,1024656,5184550
NSGA-II,1042280,2123808
SMS-EMOA,1001686,1054528
SMS-EMOA,1002943,4627686
m-ACO,1004642,422044
NOOP,1001112,3925
NSGA-II,1014020,2605877
NOOP,1004928,2947
SMS-EMOA,1000464,1371529
m-ACO,1005325,387230
SMS-EMOA,1004179,2729865
NSGA-II,1009963,3104390
NSGA-II,1002306,3210682
NOOP,1007728,3590
m-ACO,1005639,345158
NOOP,1047375,8433
m-ACO,1036702,401470
m-ACO,1005255,385618
m-ACO,1014321,492731
NSGA-II,1038318,8215302
NOOP,1009774,5043
SMS-EMOA,1004837,5118476
m-ACO,1013629,496685
SMS-EMOA,1001869,1502910
NOOP,1011866,3531
NSGA-II,1013417,5615891
m-ACO,1003656,388548
SMS-EMOA,1006510,3992921
NSGA-II,1011930,2733983
NSGA-II,1004658,2895613
NOOP,1028934,8255
NOOP,1005468,4380
m-ACO,1008971,3281333
NSGA-II,1010117,2694547
NSGA-II,1011454,3115953
m-ACO,1038544,412426
NSGA-II,1013973,2655673
SMS-EMOA,1005010,5882552
NOOP,1010533,5896
SMS-EMOA,1013497,7800708
NOOP,1025768,8554
NSGA-II,1006231,6903841
NOOP,1007161,4073
SMS-EMOA,1012675,7818312
NSGA-II,1006590,3922266
NOOP,1007174,4156
m-ACO,1045450,349259
NSGA-II,1009407,2928684
NSGA-II,1008144,2809254
SMS-EMOA,1000900,1628259
SMS-EMOA,1002386,4421645
NOOP,1004499,5456
NSGA-II,1015807,2611621
NOOP,1003247,7671
SMS-EMOA,1002427,3771858
NOOP,1001513,2938
NSGA-II,1021939,2291692
NOOP,1001506,5701
NSGA-II,1008311,2804819
NOOP,1005620,6070
NOOP,1008391,6410
NOOP,1005635,3084
SMS-EMOA,1013163,4783259
SMS-EMOA,1012420,4508713
NSGA-II,1036612,8241854
m-ACO,1004397,414522
NSGA-II,1002579,3192613
SMS-EMOA,1010907,4689367
SMS-EMOA,1005245,2277568
m-ACO,1005780,462157
SMS-EMOA,1004706,5819874
SMS-EMOA,1001758,1164454
NOOP,1036241,8290
NOOP,1009375,3054
NOOP,1044299,8025
NOOP,1021606,8758
SMS-EMOA,1029833,4612351
m-ACO,1015393,383757
NOOP,1007329,5125
NSGA-II,1003974,2165594
NOOP,1028091,8708
m-ACO,1002288,1735160
m-ACO,1003383,4265501
NSGA-II,1001453,3137351
NOOP,1008869,9631
m-ACO,1042403,400376
NSGA-II,1003259,2174308
NSGA-II,1007744,2848734
NSGA-II,1018320,2601380
SMS-EMOA,1044342,2948298
SMS-EMOA,1013300,4920945
NOOP,1008532,3532
NOOP,1005083,94696
m-ACO,1034087,409840
NSGA-II,1027360,5457271
SMS-EMOA,1005968,5407631
SMS-EMOA,1000936,1443991
NSGA-II,1009390,2893411
SMS-EMOA,1002411,1702603
SMS-EMOA,1003152,4667732
NOOP,1025396,8451
NSGA-II,1001630,3268429
NSGA-II,1000373,826160
SMS-EMOA,1039802,3480789
SMS-EMOA,1011769,5906196
NSGA-II,1001191,886063
NOOP,1000354,50060
m-ACO,1009374,3283891
NOOP,1001848,48914
NSGA-II,1011462,2716290
NOOP,1013420,8360
m-ACO,1032198,324546
NOOP,1004067,7991
m-ACO,1049193,408300
SMS-EMOA,1000078,1374848
SMS-EMOA,1005026,5969255
NOOP,1004072,11403
NOOP,1039607,8575
m-ACO,1006180,421643
NOOP,1006726,4483
SMS-EMOA,1005273,5013840
SMS-EMOA,1004730,6189679
NOOP,1006733,3319
SMS-EMOA,1004091,2994868
SMS-EMOA,1020609,5352302
NOOP,1010868,4200
m-ACO,1019720,427567
NOOP,1002415,7890
SMS-EMOA,1041807,5135775
m-ACO,1008654,3255786
NSGA-II,1003942,2186305
NOOP,1002400,4248
NOOP,1047867,8225
m-ACO,1001488,4008110
NSGA-II,1001465,3151207
NSGA-II,1000126,1582812
NOOP,1042048,8325
m-ACO,1000583,8639219
NSGA-II,1005178,2578971
SMS-EMOA,1002644,4352954
SMS-EMOA,1003307,2507703
NOOP,1011899,3069
SMS-EMOA,1001981,1423471
m-ACO,1004899,405324
SMS-EMOA,1006359,3442837
m-ACO,1040614,432175
m-ACO,1008724,3574931
NSGA-II,1040701,5388021
m-ACO,1009243,3522984
m-ACO,1041373,418863
NOOP,1013668,8135
NSGA-II,1023428,1902110
m-ACO,1012889,476421
NSGA-II,1005836,6219354
SMS-EMOA,1012416,4687009
NSGA-II,1000868,1029607
NOOP,1000109,10454
SMS-EMOA,1041149,4932552
NOOP,1005933,4443
NOOP,1005926,4508
NOOP,1046532,8215
NOOP,1011528,5700
SMS-EMOA,1005659,4691676
SMS-EMOA,1001344,1457820
NOOP,1003955,7413
NOOP,1003940,5566
m-ACO,1001406,6317363
m-ACO,1022542,136202
m-ACO,1004967,5178812
m-ACO,1000161,2194994
SMS-EMOA,1020223,5994709
SMS-EMOA,1011116,4705036
m-ACO,1007469,4778932
m-ACO,1002908,4261352
NOOP,1005482,8426
NOOP,1002249,4677
NOOP,1005497,3931
m-ACO,1003803,3943888
NSGA-II,1005552,2523517
NSGA-II,1012496,2681781
SMS-EMOA,1018654,5799901
SMS-EMOA,1006773,5048736
m-ACO,1006412,441525
NSGA-II,1012337,2786587
m-ACO,1003973,4414746
m-ACO,1012807,476646
NOOP,1004466,3480
m-ACO,1002878,480565
SMS-EMOA,1028783,3160024
m-ACO,1001576,1475735
SMS-EMOA,1009145,4682042
m-ACO,1026858,442007
NSGA-II,1001901,3301252
NSGA-II,1003387,3265475
NOOP,1000740,11465
m-ACO,1000011,3283014
NSGA-II,1006478,4532989
SMS-EMOA,1014806,5507311
m-ACO,1011165,8517436
SMS-EMOA,1016280,3219832
m-ACO,1014868,370251
NOOP,1000755,7078
NSGA-II,1003426,3276630
m-ACO,1004817,467882
NSGA-II,1002165,3419418
NSGA-II,1003673,3236885
NOOP,1030491,10962
m-ACO,1012840,468660
m-ACO,1006039,363949
m-ACO,1003934,4357182
NOOP,1002014,5164
NSGA-II,1002491,3202816
SMS-EMOA,1012269,4401903
SMS-EMOA,1017237,7843115
m-ACO,1006455,368897
NOOP,1013984,8231
m-ACO,1004850,665883
m-ACO,1011122,8393262
NOOP,1006327,4580
m-ACO,1010029,7336802
SMS-EMOA,1004801,5550166
SMS-EMOA,1006287,4953510
m-ACO,1000056,2000120
SMS-EMOA,1036350,3436709
NOOP,1009867,5370
SMS-EMOA,1006526,5797177
NOOP,1011775,4045
m-ACO,1027914,413117
m-ACO,1001531,2532488
NSGA-II,1011906,2744826
NSGA-II,1004244,2713582
m-ACO,1000126,1829802
NOOP,1032198,8207
NSGA-II,1000759,838183
m-ACO,1011052,6559119
m-ACO,1004920,334741
SMS-EMOA,1044987,5818967
SMS-EMOA,1047642,5514250
NOOP,1010791,4521
m-ACO,1010535,9478734
NOOP,1031460,8229
SMS-EMOA,1002975,4628945
NSGA-II,1014016,2660086
m-ACO,1007042,731789
SMS-EMOA,1030224,3042312
NOOP,1013269,8162
SMS-EMOA,1000452,2781485
SMS-EMOA,1001111,1297897
m-ACO,1006525,420348
NSGA-II,1017872,2390339
NOOP,1005346,5241
NOOP,1005353,7535
NOOP,1002598,7644
SMS-EMOA,1000149,2817627
SMS-EMOA,1005117,4986659
SMS-EMOA,1004454,5534641
NOOP,1012714,5390
NOOP,1012701,8740
m-ACO,1043230,379901
NSGA-II,1010010,2715544
NSGA-II,1011553,3118617
SMS-EMOA,1018854,5792584
NOOP,1001075,4137
m-ACO,1026590,396172
NOOP,1001060,9296
NSGA-II,1001701,3380093
NSGA-II,1000242,1001032
NOOP,1000084,8740
NOOP,1000091,5681
SMS-EMOA,1002520,4449729
SMS-EMOA,1003063,4561450
NOOP,1047207,8445
NSGA-II,1009500,3206946
NOOP,1010208,5569
NSGA-II,1012479,2630068
NOOP,1009606,3092
NSGA-II,1006497,4613610
SMS-EMOA,1023447,5365684
NOOP,1003569,3567
NOOP,1009613,3322
NSGA-II,1003368,2109775
NSGA-II,1006336,3855207
NSGA-II,1006163,7034921
SMS-EMOA,1012286,4619927
SMS-EMOA,1010800,4437644
NSGA-II,1028193,4712292
m-ACO,1004084,428399
m-ACO,1001989,3772652
NSGA-II,1007381,2838003
m-ACO,1000882,1933672
NOOP,1001228,9159
NSGA-II,1005907,7374054
SMS-EMOA,1013064,4760985
SMS-EMOA,1003597,3100565
NSGA-II,1009755,2715081
NOOP,1000921,5912
NOOP,1018633,8230
NOOP,1012549,45030
SMS-EMOA,1002775,4293796
SMS-EMOA,1003236,3093124
m-ACO,1012094,432404
SMS-EMOA,1006268,5979107
NSGA-II,1041373,5500448
NSGA-II,1001554,3584488
NSGA-II,1000017,1697492
NOOP,1014373,8154
NSGA-II,1005049,2563076
NOOP,1003734,6349
m-ACO,1042710,399063
m-ACO,1003090,4307765
NSGA-II,1003873,3288184
m-ACO,1004598,469654
NSGA-II,1010245,3156074
NSGA-II,1011706,3604875
m-ACO,1005493,446840
SMS-EMOA,1005342,5664140
SMS-EMOA,1035534,3517201
NSGA-II,1047207,2118361
NSGA-II,1045881,2097934
NOOP,1001461,5234
NSGA-II,1006549,4139509
m-ACO,1002065,4057261
SMS-EMOA,1008296,4438732
SMS-EMOA,1011969,4359064
m-ACO,1017917,414703
NOOP,1013809,8356
SMS-EMOA,1027725,5015317
m-ACO,1002409,4050923
m-ACO,1028791,353988
NOOP,1029112,8293
SMS-EMOA,1008537,4712737
SMS-EMOA,1009074,4460274
NSGA-II,1001830,3308659
NSGA-II,1012206,3020620
NSGA-II,1013745,2627126
NOOP,1002199,5698
m-ACO,1010873,24406129
NOOP,1005752,3046
m-ACO,1001907,4061109
NOOP,1005747,6393
m-ACO,1011978,395905
m-ACO,1014075,404853
m-ACO,1004466,416543
NOOP,1012300,6992
SMS-EMOA,1005987,4616998
SMS-EMOA,1006642,5949718
NOOP,1003168,100341
NSGA-II,1035215,5512469
m-ACO,1001877,3727945
m-ACO,1005071,372310
NOOP,1009207,7690
NSGA-II,1004120,2146893
NSGA-II,1005463,3431055
m-ACO,1015462,364760
NOOP,1006947,5784
SMS-EMOA,1010564,4572249
NOOP,1039873,8175
NSGA-II,1007944,3341151
NSGA-II,1004681,3525277
m-ACO,1004516,472442
NSGA-II,1015631,2861261
m-ACO,1002115,1526372
NOOP,1000485,78013
NSGA-II,1015190,2366559
m-ACO,1003472,7342476
SMS-EMOA,1005768,5226637
SMS-EMOA,1001275,1208966
NOOP,1010609,5120
m-ACO,1002579,3693691
m-ACO,1004551,464270
NSGA-II,1042426,2135124
NOOP,1012148,6438
SMS-EMOA,1001020,1647309
m-ACO,1005036,403340
NSGA-II,1011179,1882159
m-ACO,1001830,4114854
SMS-EMOA,1001781,1127227
NSGA-II,1005197,2578631
m-ACO,1012541,474759
NSGA-II,1036824,7712713
NOOP,1023035,8134
NSGA-II,1004375,2605050
NSGA-II,1005636,5769439
NSGA-II,1000668,885354
m-ACO,1003059,372880
m-ACO,1002152,1940632
m-ACO,1003545,4288386
SMS-EMOA,1028346,5656386
NSGA-II,1026499,4779946
SMS-EMOA,1007154,10772395
