algorithm,playlist,time
NSGA-II,1009739,3159834
m-ACO,1009631,8619280
NSGA-II,1022036,2550086
SMS-EMOA,1016056,7654522
m-ACO,1006482,418429
SMS-EMOA,1008171,4702756
SMS-EMOA,1009432,10694901
NSGA-II,1000935,3101781
NSGA-II,1003151,2162057
NSGA-II,1002412,3394073
NSGA-II,1014095,3486461
SMS-EMOA,1000370,1065249
NOOP,1008939,8252
NOOP,1037818,8133
SMS-EMOA,1030506,7847130
m-ACO,1007095,420600
NSGA-II,1010229,2721588
SMS-EMOA,1021217,5890397
NOOP,1006965,5668
m-ACO,1001496,4470682
m-ACO,1040316,409436
m-ACO,1008226,5140961
NSGA-II,1006841,4031321
NOOP,1004781,14476
m-ACO,1011085,8275960
NSGA-II,1001538,3216134
SMS-EMOA,1013946,4857345
SMS-EMOA,1010683,4944765
NSGA-II,1004566,2883377
NSGA-II,1005025,2649344
NOOP,1004794,5839
NSGA-II,1003332,2102336
NSGA-II,1002671,3341658
SMS-EMOA,1012089,4626918
NOOP,1008477,4542
NSGA-II,1047946,2082144
m-ACO,1009914,6942161
SMS-EMOA,1005803,5667360
SMS-EMOA,1003798,3437078
NOOP,1002718,5612
m-ACO,1044545,335893
SMS-EMOA,1036611,5553254
NOOP,1020104,8263
SMS-EMOA,1018140,5727586
SMS-EMOA,1003039,5118787
m-ACO,1037699,407607
NSGA-II,1004705,2665688
NSGA-II,1005246,2611314
NOOP,1009486,6138
NOOP,1004122,8249
SMS-EMOA,1047303,5257735
NOOP,1013565,8251
m-ACO,1027796,419840
SMS-EMOA,1010341,4824325
NOOP,1013570,7878
SMS-EMOA,1048535,5457075
NOOP,1032681,8075
SMS-EMOA,1006929,5616898
SMS-EMOA,1034278,2307776
NSGA-II,1043515,2020249
NOOP,1017643,8850
SMS-EMOA,1000113,1604610
NOOP,1022418,8460
SMS-EMOA,1005318,5337749
SMS-EMOA,1000346,1190399
SMS-EMOA,1001605,1311451
NSGA-II,1025396,5343345
NOOP,1020359,8194
m-ACO,1008928,3267837
NOOP,1002545,4356
NOOP,1002550,6496
NSGA-II,1025437,4589220
NOOP,1004892,5227
NSGA-II,1003829,3246369
NOOP,1006676,7511
SMS-EMOA,1046415,5311620
m-ACO,1012685,118479
NSGA-II,1028887,4774294
m-ACO,1029469,403601
SMS-EMOA,1008809,4429882
NOOP,1006663,6588
NSGA-II,1004550,1685518
NSGA-II,1005013,2649270
NSGA-II,1013494,2674783
NOOP,1005863,3981
SMS-EMOA,1006232,5603894
NOOP,1005876,6492
NSGA-II,1012676,2636800
m-ACO,1003681,386882
SMS-EMOA,1006593,5464029
NOOP,1007692,5117
m-ACO,1045409,344937
m-ACO,1004389,418721
NOOP,1013738,8439
NSGA-II,1002385,3285687
m-ACO,1009953,6806042
NSGA-II,1006139,5732039
NSGA-II,1003167,2173613
NOOP,1008063,5748
SMS-EMOA,1005732,5651592
NOOP,1002319,6400
NSGA-II,1010194,2025884
m-ACO,1013700,407742
m-ACO,1002674,1617235
SMS-EMOA,1005093,5706024
NSGA-II,1014328,2647449
NSGA-II,1008889,3191685
m-ACO,1002218,7283627
NSGA-II,1011376,2774717
m-ACO,1005710,399963
SMS-EMOA,1040805,5177708
NSGA-II,1001685,3395933
SMS-EMOA,1014023,4693954
NOOP,1011478,89140
m-ACO,1004277,632374
NOOP,1003805,4491
NSGA-II,1001124,790664
NSGA-II,1005439,2558396
SMS-EMOA,1009960,5242692
NOOP,1000610,4958
SMS-EMOA,1000983,1317237
SMS-EMOA,1002305,3874060
SMS-EMOA,1003646,3066815
NOOP,1018917,8724
SMS-EMOA,1006618,5010273
NSGA-II,1009484,2800916
NOOP,1000605,7524
NSGA-II,1041703,2108589
NOOP,1040258,8418
NOOP,1010489,10688
NSGA-II,1009325,4188199
m-ACO,1004307,424325
SMS-EMOA,1039658,5657829
NOOP,1004523,5085
NSGA-II,1004834,2648753
NOOP,1004536,2668
m-ACO,1013670,496307
NOOP,1041951,8244
m-ACO,1003263,376076
NOOP,1013171,7978
NSGA-II,1006513,4141752
NSGA-II,1003718,2129610
NOOP,1011630,5327
NSGA-II,1006746,2346093
NSGA-II,1007205,2836749
NOOP,1011625,4911
NSGA-II,1037473,6418232
SMS-EMOA,1013641,4645268
m-ACO,1005627,370913
NOOP,1033039,8897
m-ACO,1008891,3214065
NOOP,1006277,4586
m-ACO,1012350,416068
NOOP,1042519,8581
m-ACO,1021607,362508
NSGA-II,1008433,4223728
NOOP,1002151,6904
m-ACO,1003648,4334625
m-ACO,1020360,413659
NSGA-II,1008392,2866860
m-ACO,1002743,4072797
NOOP,1002144,4637
SMS-EMOA,1002150,4173199
SMS-EMOA,1003413,1740333
SMS-EMOA,1015094,4899843
m-ACO,1003354,394249
SMS-EMOA,1011589,3642643
NSGA-II,1001371,928423
NSGA-II,1000632,1202205
NSGA-II,1034559,6445070
NOOP,1019056,8948
SMS-EMOA,1015735,5524583
NSGA-II,1000193,2084156
m-ACO,1013747,497258
m-ACO,1003738,907258
NSGA-II,1025248,4960123
NSGA-II,1010460,2713908
SMS-EMOA,1000298,2852608
m-ACO,1004230,389724
SMS-EMOA,1004785,5969077
NOOP,1000458,7991
NSGA-II,1012947,2699884
NSGA-II,1011682,2823891
SMS-EMOA,1005567,5744486
m-ACO,1005757,366449
NOOP,1029456,8571
NSGA-II,1042167,2059371
NSGA-II,1011399,3068756
SMS-EMOA,1000022,2389998
m-ACO,1041525,396150
SMS-EMOA,1001561,977080
NSGA-II,1008866,2831207
NSGA-II,1016941,2693112
SMS-EMOA,1048404,5350891
m-ACO,1041149,415320
NOOP,1001125,11321
m-ACO,1009079,3364841
m-ACO,1019006,372337
NSGA-II,1026896,4562193
SMS-EMOA,1000783,894202
NSGA-II,1011438,2750566
SMS-EMOA,1003846,3928932
NOOP,1001130,115995
SMS-EMOA,1006818,5773979
NSGA-II,1014466,2342804
NSGA-II,1004195,2798682
NOOP,1012644,5939
NOOP,1042080,8306
NSGA-II,1005377,2644486
NSGA-II,1000329,825004
NOOP,1005203,5650
NOOP,1009756,3461
NSGA-II,1023627,4615397
NOOP,1003439,5037
NOOP,1009743,3953
NSGA-II,1013051,2677141
SMS-EMOA,1014982,5280740
NSGA-II,1003203,2137668
NSGA-II,1002740,3248425
NSGA-II,1001885,3223642
m-ACO,1040132,466643
m-ACO,1009109,3273280
m-ACO,1041039,412861
NOOP,1002695,13979
NSGA-II,1033620,8142984
NSGA-II,1006008,6052200
SMS-EMOA,1009294,4198604
NSGA-II,1002515,3288961
NOOP,1027657,8466
NOOP,1000871,6402
NOOP,1000864,4247
NOOP,1012419,9137
m-ACO,1039917,469971
NSGA-II,1000832,840673
NSGA-II,1012747,2640550
NSGA-II,1013204,2668168
m-ACO,1010781,7976411
NOOP,1039492,8804
NOOP,1001378,3855
m-ACO,1008045,6469784
SMS-EMOA,1007640,4433417
SMS-EMOA,1006303,5687383
SMS-EMOA,1004985,5893624
m-ACO,1009522,3511074
m-ACO,1008135,6476009
m-ACO,1001785,3649295
NOOP,1000389,6766
NOOP,1007542,3796
SMS-EMOA,1008938,3316958
NSGA-II,1004461,2577471
NSGA-II,1005122,2621876
NOOP,1010105,4232
NOOP,1010110,5618
SMS-EMOA,1011566,4926423
NSGA-II,1003918,3217878
m-ACO,1008559,3349087
NSGA-II,1005683,7118278
NSGA-II,1006946,3341375
SMS-EMOA,1005588,4793164
SMS-EMOA,1005229,5731755
SMS-EMOA,1001734,1581021
NOOP,1001880,3302
m-ACO,1007386,4769715
m-ACO,1010363,9194942
NSGA-II,1007161,2849027
m-ACO,1001217,1655899
SMS-EMOA,1013284,4905159
NSGA-II,1029191,4262211
NSGA-II,1004905,2604076
NSGA-II,1006383,4166266
m-ACO,1006373,391966
SMS-EMOA,1002595,5263658
SMS-EMOA,1006088,5141581
SMS-EMOA,1002234,3961550
SMS-EMOA,1003777,2915290
m-ACO,1034343,483842
SMS-EMOA,1006729,5858674
NOOP,1001531,5082
NOOP,1001524,4044
NSGA-II,1038680,5731792
NOOP,1013959,8377
NOOP,1010759,94021
NOOP,1040188,8024
SMS-EMOA,1043150,5851818
NSGA-II,1001015,1122685
SMS-EMOA,1012928,5030048
NOOP,1017187,8185
NSGA-II,1005508,2591541
m-ACO,1006203,168254
SMS-EMOA,1025227,5309946
NSGA-II,1002871,3255722
m-ACO,1001367,3333429
m-ACO,1011318,4898296
NOOP,1006817,5897
NSGA-II,1010704,2646517
NOOP,1006802,7103
NOOP,1003038,3660
SMS-EMOA,1005603,5926926
NOOP,1036263,8666
SMS-EMOA,1003998,3444261
m-ACO,1000600,8358098
NOOP,1009357,8474
m-ACO,1011774,585761
NOOP,1001779,5746
m-ACO,1034274,432997
NSGA-II,1012876,3048248
m-ACO,1006628,374215
SMS-EMOA,1005456,5851178
SMS-EMOA,1004115,3044400
m-ACO,1006244,427517
NOOP,1003988,4012
NSGA-II,1010551,2720235
NSGA-II,1011012,3082562
NOOP,1041324,8397
SMS-EMOA,1011319,4515519
NOOP,1002294,5760
m-ACO,1000647,8711054
m-ACO,1010638,465867
NOOP,1017822,9101
NSGA-II,1006898,3315021
NSGA-II,1001240,1192621
NOOP,1012018,5043
NSGA-II,1000703,1104593
m-ACO,1008590,3508750
SMS-EMOA,1047618,4895157
m-ACO,1049210,425338
m-ACO,1009187,3249727
NOOP,1003270,6846
NOOP,1003265,4940
SMS-EMOA,1003522,2849425
m-ACO,1049360,467285
NOOP,1043638,8109
m-ACO,1010324,7711238
SMS-EMOA,1001805,1183124
NSGA-II,1003188,3262874
SMS-EMOA,1013770,4676921
NOOP,1000788,260941
NOOP,1032318,7713
SMS-EMOA,1008609,4572639
m-ACO,1007653,4813383
SMS-EMOA,1012592,4977012
NOOP,1010511,10161
NSGA-II,1006677,4150600
NSGA-II,1007334,2734410
NOOP,1002979,5578
m-ACO,1006334,423749
NOOP,1029690,7971
SMS-EMOA,1008325,4442193
SMS-EMOA,1009666,11200820
NOOP,1006528,6837
NSGA-II,1001983,3168125
m-ACO,1018602,413745
NOOP,1012497,16913
SMS-EMOA,1029242,7978487
NSGA-II,1012414,2605005
SMS-EMOA,1005834,5398057
NOOP,1025828,8406
SMS-EMOA,1010376,4488320
NSGA-II,1004093,3250675
NOOP,1004021,4606
NSGA-II,1035407,8177372
