Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
SMSEMOA__100__25000__0_9__0_01,MPC_1046653,HV,0,0.830993330660348
SMSEMOA__100__25000__0_9__0_01,MPC_1046653,HV,1,0.8321225312933387
SMSEMOA__100__25000__0_9__0_01,MPC_1046653,HV,2,0.8194610111920904
SMSEMOA__100__25000__0_9__0_01,MPC_1001485,HV,0,0.680775694038242
SMSEMOA__100__25000__0_9__0_01,MPC_1001485,HV,1,0.6893810519621567
SMSEMOA__100__25000__0_9__0_01,MPC_1001485,HV,2,0.6763881038411712
SMSEMOA__100__25000__0_9__0_01,MPC_1042576,HV,0,0.9578983993809387
SMSEMOA__100__25000__0_9__0_01,MPC_1042576,HV,1,0.9643713882118669
SMSEMOA__100__25000__0_9__0_01,MPC_1042576,HV,2,0.9622474573896688
SMSEMOA__100__25000__0_9__0_015,MPC_1045862,HV,0,0.4679266933935993
SMSEMOA__100__25000__0_9__0_015,MPC_1045862,HV,1,0.47647020383482025
SMSEMOA__100__25000__0_9__0_015,MPC_1045862,HV,2,0.4836729896751654
SMSEMOA__100__25000__0_9__0_015,MPC_1005583,HV,0,0.12819062426516625
SMSEMOA__100__25000__0_9__0_015,MPC_1005583,HV,1,0.1269749990618025
SMSEMOA__100__25000__0_9__0_015,MPC_1005583,HV,2,0.12128627528528187
SMSEMOA__100__25000__0_9__0_015,MPC_1046202,HV,0,0.7332126296942378
SMSEMOA__100__25000__0_9__0_015,MPC_1046202,HV,1,0.7341273270554175
SMSEMOA__100__25000__0_9__0_015,MPC_1046202,HV,2,0.73527780853057
SMSEMOA__100__25000__0_9__0_015,MPC_1046653,HV,0,0.8172422177960587
SMSEMOA__100__25000__0_9__0_015,MPC_1046653,HV,1,0.8262767474054677
SMSEMOA__100__25000__0_9__0_015,MPC_1046653,HV,2,0.8034487810836284
SMSEMOA__100__25000__0_9__0_015,MPC_1001485,HV,0,0.7032995931335464
SMSEMOA__100__25000__0_9__0_015,MPC_1001485,HV,1,0.7033315968331241
SMSEMOA__100__25000__0_9__0_015,MPC_1001485,HV,2,0.6951877408763356
SMSEMOA__100__25000__0_9__0_015,MPC_1042576,HV,0,0.9622763319160335
SMSEMOA__100__25000__0_9__0_015,MPC_1042576,HV,1,0.9589211622497271
SMSEMOA__100__25000__0_9__0_015,MPC_1042576,HV,2,0.9529296110166221
SMSEMOA__100__25000__0_95__0_005,MPC_1045862,HV,0,0.48547002501011377
SMSEMOA__100__25000__0_95__0_005,MPC_1045862,HV,1,0.5211448709121459
SMSEMOA__100__25000__0_95__0_005,MPC_1045862,HV,2,0.48137815108402443
